,instrument,date,52_week_total_return,price_open,price_close,pe,price_avg,log_returns,decile
1498,AAPL.O,2018-11-23T00:00:00Z,-0.054549141533389,43.735,43.0725,14.184449713,43.40375,-0.026374905368420295,1
1497,AAPL.O,2018-11-26T00:00:00Z,1.80912639681763,43.56,43.655,14.376276098,43.6075,0.0046833110065826,7
1496,AAPL.O,2018-11-27T00:00:00Z,2.18628745149658,42.8775,43.56,14.344991108,43.21875,-0.008954725045121186,3
1495,AAPL.O,2018-11-28T00:00:00Z,8.36341496242417,44.1825,45.235,14.896594876,44.708749999999995,0.033894803038785365,10
1494,AAPL.O,2018-11-29T00:00:00Z,6.04798604614669,45.665,44.8875,14.782157676,45.276250000000005,0.012613380540307455,9
1493,AAPL.O,2018-11-30T00:00:00Z,5.9683793415735,45.0725,44.645,14.702298623,44.85875,-0.00926394820751513,3
1492,AAPL.O,2018-12-03T00:00:00Z,10.4785160794142,46.115,46.205,15.216031087,46.16,0.028594957963234677,10
1491,AAPL.O,2018-12-04T00:00:00Z,5.71832151094438,45.2375,44.1725,14.546696964,44.705,-0.03202827001256272,1
1490,AAPL.O,2018-12-06T00:00:00Z,4.73718891139931,42.94,43.68,14.38450899,43.31,-0.031701796960745966,1
1489,AAPL.O,2018-12-07T00:00:00Z,0.972752458789805,43.3725,42.1225,13.871599816,42.7475,-0.013072841085924342,2
1488,AAPL.O,2018-12-10T00:00:00Z,-0.304510243529144,41.25,42.4,13.962984917,41.825,-0.021816467267723343,1
1487,AAPL.O,2018-12-11T00:00:00Z,-0.31470529591705,42.915,42.1575,13.883125864,42.536249999999995,0.01686240668633702,9
1486,AAPL.O,2018-12-12T00:00:00Z,-0.367619686034715,42.6,42.275,13.921820457,42.4375,-0.0023242482403099322,4
1485,AAPL.O,2018-12-13T00:00:00Z,0.751628017660688,42.6225,42.7375,14.07412896,42.68,0.005698021114637796,7
1484,AAPL.O,2018-12-14T00:00:00Z,-3.45324064367845,42.25,41.37,13.623789765,41.81,-0.02059488106507893,1
1483,AAPL.O,2018-12-17T00:00:00Z,-5.68002753859195,41.3625,40.985,13.497003227,41.17375,-0.015334627992669573,2
1482,AAPL.O,2018-12-18T00:00:00Z,-3.42543373777491,41.345,41.5175,13.672363828,41.43125,0.006234509631760465,7
1481,AAPL.O,2018-12-19T00:00:00Z,-6.33579479229741,41.5,40.2225,13.24590002,40.86125,-0.013853245819747373,2
1480,AAPL.O,2018-12-20T00:00:00Z,-9.04369068077557,40.1,39.2075,12.911644603,39.65375,-0.029996660025541036,1
1479,AAPL.O,2018-12-21T00:00:00Z,-12.5814926755423,39.215,37.6825,12.409438187,38.448750000000004,-0.030859335492002413,1
1478,AAPL.O,2018-12-24T00:00:00Z,-14.8433660820783,37.0375,36.7075,12.088355397,36.8725,-0.0418601699187533,1
1477,AAPL.O,2018-12-26T00:00:00Z,-6.49018912962139,37.075,39.2925,12.939636435,38.18375,0.03494401668572242,10
1476,AAPL.O,2018-12-27T00:00:00Z,-7.3577062608273,38.96,39.0375,12.855660937,38.99875,0.02111956189669905,10
1475,AAPL.O,2018-12-28T00:00:00Z,-6.29697085371904,39.375,39.0575,12.86224725,39.21625,0.0055616073804954655,7
1474,AAPL.O,2018-12-31T00:00:00Z,-5.39130885534686,39.6325,39.435,12.98656392,39.53375,0.008063535754541587,8
1473,AAPL.O,2019-01-02T00:00:00Z,-6.93317758826458,38.7225,39.48,13.001383126,39.10124999999999,-0.011000301679203529,2
1472,AAPL.O,2019-01-03T00:00:00Z,-16.5907533436903,35.995,35.5475,11.706349206,35.771249999999995,-0.089009937644385,1
1471,AAPL.O,2019-01-04T00:00:00Z,-14.009099014571,36.1325,37.065,12.206085754,36.598749999999995,0.022869588673238468,10
1470,AAPL.O,2019-01-07T00:00:00Z,-13.8806272842345,37.175,36.9825,12.17891721,37.07875,0.0130299424154393,9
1469,AAPL.O,2019-01-08T00:00:00Z,-12.2288592372663,37.39,37.6875,12.411084766,37.53875,0.012329703554247007,9
1468,AAPL.O,2019-01-09T00:00:00Z,-10.7178651999734,37.8225,38.3275,12.621846802,38.075,0.014184165992910721,9
1467,AAPL.O,2019-01-10T00:00:00Z,-10.938393811659,38.125,38.45,12.662187973,38.2875,0.005565573377668099,7
1466,AAPL.O,2019-01-11T00:00:00Z,-12.7141388406391,38.22,38.0725,12.537871303,38.146249999999995,-0.0036960154590294394,4
1465,AAPL.O,2019-01-14T00:00:00Z,-14.0266650870458,37.7125,37.5,12.349338075,37.60625,-0.014257196713339347,2
1464,AAPL.O,2019-01-15T00:00:00Z,-11.8189270351232,37.5675,38.2675,12.602087861,37.917500000000004,0.008242486956890048,8
1463,AAPL.O,2019-01-16T00:00:00Z,-12.1919125147477,38.27,38.735,12.756042943,38.5025,0.015310427307068327,9
1462,AAPL.O,2019-01-17T00:00:00Z,-11.7493664048375,38.55,38.965,12.83178555,38.7575,0.006601111207896732,7
1461,AAPL.O,2019-01-18T00:00:00Z,-10.8077513571126,39.375,39.205,12.910821313,39.29,0.013645748111988095,9
1460,AAPL.O,2019-01-22T00:00:00Z,-12.110436775907,39.1025,38.325,12.621023513,38.713750000000005,-0.01477519948009803,2
1459,AAPL.O,2019-01-23T00:00:00Z,-10.3266080404921,38.5375,38.48,12.672067444,38.50875,-0.005309345891792981,3
1458,AAPL.O,2019-01-24T00:00:00Z,-9.42044181085663,38.5275,38.175,12.571626161,38.35125,-0.004098366392282248,4
1457,AAPL.O,2019-01-25T00:00:00Z,-6.63717098206978,38.87,39.44,12.988210499,39.155,0.020741006396705734,10
1456,AAPL.O,2019-01-28T00:00:00Z,-5.54615008938912,38.9475,39.075,12.868010275,39.011250000000004,-0.0036780621318232643,4
1455,AAPL.O,2019-01-29T00:00:00Z,-5.97090233017131,39.0625,38.67,12.734637423,38.86625,-0.003723801291923242,4
1454,AAPL.O,2019-01-30T00:00:00Z,0.178550426331192,40.8125,41.3125,13.604854113,41.0625,0.05496903146567469,10
1453,AAPL.O,2019-01-31T00:00:00Z,0.689473356571102,41.5275,41.61,13.945818768,41.56875,0.012253386805764967,9
1452,AAPL.O,2019-02-01T00:00:00Z,5.30716416989863,41.74,41.63,13.952521877,41.685,0.0027926688119825067,6
1451,AAPL.O,2019-02-04T00:00:00Z,11.073521715201,41.8525,42.8125,14.348843211,42.332499999999996,0.015413760694781627,9
1450,AAPL.O,2019-02-05T00:00:00Z,8.44194787773715,43.215,43.545,14.594344587,43.38,0.024443392841369968,10
1449,AAPL.O,2019-02-06T00:00:00Z,10.8523302605599,43.6625,43.56,14.599371919,43.61125,0.005316639195820008,7
1448,AAPL.O,2019-02-07T00:00:00Z,11.8300378750384,43.1,42.735,14.322868663,42.917500000000004,-0.01603547643160102,2
1447,AAPL.O,2019-02-08T00:00:00Z,10.6134131438457,42.2475,42.6025,14.278460564,42.425,-0.011541857042657398,2
1446,AAPL.O,2019-02-11T00:00:00Z,5.71906139488214,42.7625,42.3575,14.196347476,42.56,0.0031770339130989924,6
1445,AAPL.O,2019-02-12T00:00:00Z,5.57244995112061,42.525,42.7225,14.318679219,42.62375,0.0014967646270941312,5
1444,AAPL.O,2019-02-13T00:00:00Z,3.23052501672214,42.8475,42.545,14.259189125,42.69625,0.0016994847034653231,6
1443,AAPL.O,2019-02-14T00:00:00Z,0.240702270769977,42.4275,42.7,14.311138221,42.56375,-0.003108142309841472,4
1442,AAPL.O,2019-02-15T00:00:00Z,0.342511219422481,42.8125,42.605,14.279298453,42.708749999999995,0.0034008652204263355,6
1441,AAPL.O,2019-02-19T00:00:00Z,0.982469970056399,42.4275,42.7325,14.322030774,42.58,-0.0030191578092000062,4
1440,AAPL.O,2019-02-20T00:00:00Z,2.09572720720068,42.7975,43.0075,14.414198526,42.9025,0.007545439828987844,7
1439,AAPL.O,2019-02-21T00:00:00Z,0.678468655491416,42.95,42.765,14.332923326,42.8575,-0.0010494403948220312,5
1438,AAPL.O,2019-02-22T00:00:00Z,0.06239591912458,42.895,43.2425,14.49296006,43.06875,0.004917017223881971,7
1437,AAPL.O,2019-02-25T00:00:00Z,-1.16291428086324,43.54,43.5575,14.59853403,43.54875,0.011083324122559168,8
1436,AAPL.O,2019-02-26T00:00:00Z,-0.784652557941579,43.4275,43.5825,14.606912917,43.505,-0.0010051262279523008,5
1435,AAPL.O,2019-02-27T00:00:00Z,-0.326466063678277,43.3025,43.7175,14.652158904,43.510000000000005,0.00011492271460109544,5
1434,AAPL.O,2019-02-28T00:00:00Z,0.45271521165422,43.58,43.2875,14.508042055,43.43375,-0.0017540080695594192,4
1433,AAPL.O,2019-03-01T00:00:00Z,0.811545677768644,43.57,43.7425,14.66053779,43.65625,0.005109667794205692,7
1432,AAPL.O,2019-03-04T00:00:00Z,0.969038203208861,43.9225,43.9625,14.734271992,43.942499999999995,0.006535504647680947,7
1431,AAPL.O,2019-03-05T00:00:00Z,0.870872351394314,43.985,43.8825,14.707459555,43.93375,-0.00019914368282460931,5
1430,AAPL.O,2019-03-06T00:00:00Z,1.23016493484347,43.6675,43.63,14.622832801,43.64875,-0.006508172430830715,3
1429,AAPL.O,2019-03-07T00:00:00Z,-1.02162728103094,43.4675,43.125,14.453579293,43.29625,-0.008108618814084588,3
